2025-12-29 11:07:45 | ERROR | bot | Error updating candle from orderbook for BTCUSDT: argument of type 'OrderBookSnapshot' is not iterable
2025-12-29 11:07:45 | ERROR | bot | Error updating candle from orderbook for ETHUSDT: argument of type 'OrderBookSnapshot' is not iterable
2025-12-29 11:07:45 | ERROR | bot | Error updating candle from orderbook for BNBUSDT: argument of type 'OrderBookSnapshot' is not iterable
2025-12-29 11:07:47 | ERROR | bot | Error updating candle from orderbook for SOLUSDT: argument of type 'OrderBookSnapshot' is not iterable
2025-12-29 11:07:47 | ERROR | bot | Error updating candle from orderbook for ADAUSDT: argument of type 'OrderBookSnapshot' is not iterable
2025-12-29 11:07:47 | ERROR | bot | Error updating candle from orderbook for DOGEUSDT: argument of type 'OrderBookSnapshot' is not iterable
2025-12-29 11:07:49 | ERROR | bot | Error updating candle from orderbook for AVAXUSDT: argument of type 'OrderBookSnapshot' is not iterable
2025-12-29 11:07:49 | ERROR | bot | Error updating candle from orderbook for TRXUSDT: argument of type 'OrderBookSnapshot' is not iterable
2025-12-29 11:07:49 | ERROR | bot | Error updating candle from orderbook for AAVEUSDT: argument of type 'OrderBookSnapshot' is not iterable
2025-12-29 11:07:51 | ERROR | bot | Error updating candle from orderbook for STRKUSDT: argument of type 'OrderBookSnapshot' is not iterable
2025-12-29 11:07:53 | ERROR | bot | Error updating candle from orderbook for BTCUSDT: argument of type 'OrderBookSnapshot' is not iterable
2025-12-29 11:07:53 | ERROR | bot | Error updating candle from orderbook for ETHUSDT: argument of type 'OrderBookSnapshot' is not iterable
2025-12-29 11:07:53 | ERROR | bot | Error updating candle from orderbook for BNBUSDT: argument of type 'OrderBookSnapshot' is not iterable
2025-12-29 11:07:55 | ERROR | bot | Error updating candle from orderbook for SOLUSDT: argument of type 'OrderBookSnapshot' is not iterable
2025-12-29 11:07:55 | ERROR | bot | Error updating candle from orderbook for ADAUSDT: argument of type 'OrderBookSnapshot' is not iterable
2025-12-29 11:07:55 | ERROR | bot | Error updating candle from orderbook for DOGEUSDT: argument of type 'OrderBookSnapshot' is not iterable
2025-12-29 11:07:57 | ERROR | bot | Error updating candle from orderbook for AVAXUSDT: argument of type 'OrderBookSnapshot' is not iterable
2025-12-29 11:07:57 | ERROR | bot | Error updating candle from orderbook for TRXUSDT: argument of type 'OrderBookSnapshot' is not iterable
2025-12-29 11:07:57 | ERROR | bot | Error updating candle from orderbook for AAVEUSDT: argument of type 'OrderBookSnapshot' is not iterable
2025-12-29 11:07:59 | ERROR | bot | Error updating candle from orderbook for STRKUSDT: argument of type 'OrderBookSnapshot' is not iterable
2025-12-29 11:08:01 | ERROR | bot | Error updating candle from orderbook for BTCUSDT: argument of type 'OrderBookSnapshot' is not iterable
2025-12-29 11:08:01 | ERROR | bot | Error updating candle from orderbook for ETHUSDT: argument of type 'OrderBookSnapshot' is not iterable
2025-12-29 11:08:01 | ERROR | bot | Error updating candle from orderbook for BNBUSDT: argument of type 'OrderBookSnapshot' is not iterable
2025-12-29 11:08:03 | ERROR | bot | Error updating candle from orderbook for SOLUSDT: argument of type 'OrderBookSnapshot' is not iterable
2025-12-29 11:08:03 | ERROR | bot | Error updating candle from orderbook for ADAUSDT: argument of type 'OrderBookSnapshot' is not iterable
2025-12-29 11:08:03 | ERROR | bot | Error updating candle from orderbook for DOGEUSDT: argument of type 'OrderBookSnapshot' is not iterable
